alpha,iteration,energy
0.001,0,-69.90815235668143
0.001,1,-70.93921167499363
0.001,2,-71.81576668235529
0.001,3,-72.52481296827476
0.001,4,-73.12030474768534
0.001,5,-73.6428025500958
0.001,6,-74.0916081910907
0.001,7,-74.46510809009519
0.001,8,-74.76732131202938
0.001,9,-75.00040206456612
0.001,10,-75.19560050151497
0.001,11,-75.36553720575344
0.001,12,-75.51579178342715
0.001,13,-75.6490451052431
0.001,14,-75.76406306781459
0.001,15,-75.85808276566743
0.001,16,-75.92939694974272
0.001,17,-75.97759586240453
0.001,18,-76.00506925224725
0.001,19,-76.01915178505924
0.001,20,-76.02541045917165
0.001,21,-76.02689037273248
0.001,22,-76.02696795284926
0.001,23,-76.0269679544531
0.001,24,-76.0269679544531
0.001,25,-76.0269679544531
0.001,26,-76.0269679544531
0.001,27,-76.0269679544531
0.001,28,-76.0269679544531
0.001,29,-76.0269679544531
0.001,30,-76.0269679544531
0.001,31,-76.0269679544531
0.001,32,-76.0269679544531
0.001,33,-76.0269679544531
0.002,0,-70.95839522875312
0.002,1,-72.53370096212225
0.002,2,-73.57420324999406
0.002,3,-74.28516147355411
0.002,4,-74.7383555111485
0.002,5,-75.13616415185902
0.002,6,-75.47796122385198
0.002,7,-75.73552677085985
0.002,8,-75.90911725930535
0.002,9,-75.99636385753246
0.002,10,-76.02363815124646
0.002,11,-76.02695960429116
0.002,12,-76.02696791858041
0.002,13,-76.02696791858041
0.002,14,-76.02696791858041
0.002,15,-76.02696791858041
0.002,16,-76.02696791858041
0.002,17,-76.02696791858041
0.002,18,-76.02696791858041
0.002,19,-76.02696791858041
0.002,20,-76.02696791858041
0.002,21,-76.02696791858041
0.002,22,-76.02696791858041
0.002,23,-76.02696791858041
0.005,0,-72.99205732695495
0.005,1,-74.74444022702386
0.005,2,-75.57361399875485
0.005,3,-75.95398906639832
0.005,4,-76.02504122071522
0.005,5,-76.02696762458359
0.005,6,-76.02696762458359
0.005,7,-76.02696762458359
0.005,8,-76.02696762458359
0.005,9,-76.02696762458359
0.005,10,-76.02696762458359
0.005,11,-76.02696762458359
0.005,12,-76.02696762458359
0.005,13,-76.02696762458359
0.005,14,-76.02696762458359
0.005,15,-76.02696762458359
0.005,16,-76.02696762458359
0.02,0,-75.37455540456273
0.02,1,-76.0267654615975
0.02,2,-76.02696361662584
0.02,3,-76.0269651179233
0.02,4,-76.0269651179233
0.02,5,-76.0269651179233
0.02,6,-76.0269651179233
0.02,7,-76.0269651179233
0.02,8,-76.0269651179233
0.02,9,-76.0269651179233
0.02,10,-76.0269651179233
0.02,11,-76.0269651179233
0.02,12,-76.0269651179233
0.02,13,-76.0269651179233
0.02,14,-76.0269651179233
0.04,0,-75.98734670724039
0.04,1,-76.02694856585948
0.04,2,-76.02695971248403
0.04,3,-76.02695971248403
0.04,4,-76.02695971248403
0.04,5,-76.02695971248403
0.04,6,-76.02695971248403
0.04,7,-76.02695971248403
0.04,8,-76.02695971248403
0.04,9,-76.02695971248403
0.04,10,-76.02695971248403
0.04,11,-76.02695971248403
0.04,12,-76.02695971248403
0.04,13,-76.02695971248403
0.08,0,-76.02646609386471
0.08,1,-76.02689669263758
0.08,2,-76.02689669263758
0.08,3,-76.02689669263758
0.08,4,-76.02689669263758
0.08,5,-76.02689669263758
0.08,6,-76.02689669263758
0.08,7,-76.02689669263758
0.08,8,-76.02689669263758
0.08,9,-76.02689669263758
0.08,10,-76.02689669263758
0.08,11,-76.02689669263758
0.08,12,-76.02689669263758
0.16,0,-76.02642279211223
0.16,1,-76.02657716003394
0.16,2,-76.02661729018465
0.16,3,-76.02661729018465
0.16,4,-76.02661729018465
0.16,5,-76.02661729018465
0.16,6,-76.02661729018465
0.16,7,-76.02661729018465
0.16,8,-76.02661729018465
0.16,9,-76.02661729018465
0.16,10,-76.02661729018465
0.16,11,-76.02661729018465
0.16,12,-76.02661729018465
0.16,13,-76.02661729018465
