alpha,iteration,energy
0.001,0,-69.95977159728135
0.001,1,-71.02030624311338
0.001,2,-71.93344456065115
0.001,3,-72.66415939524126
0.001,4,-73.25957105170272
0.001,5,-73.75926225888422
0.001,6,-74.17952275558319
0.001,7,-74.52547534401396
0.001,8,-74.8007309349322
0.001,9,-75.02950449712786
0.001,10,-75.22499138761063
0.001,11,-75.39650076820384
0.001,12,-75.55107476521866
0.001,13,-75.6875423590873
0.001,14,-75.80201746756343
0.001,15,-75.89197145163389
0.001,16,-75.95652013840837
0.001,17,-75.99582726365159
0.001,18,-76.01541708539852
0.001,19,-76.02443270632504
0.001,20,-76.02652459444559
0.001,21,-76.0266266461253
0.001,22,-76.02667625860573
0.001,23,-76.02674300659157
0.001,24,-76.0267781109868
0.001,25,-76.02685262129629
0.001,26,-76.02690249072423
0.001,27,-76.02693133263863
0.001,28,-76.02693133263863
0.001,29,-76.02693133263863
0.001,30,-76.02693133263863
0.001,31,-76.02693133263863
0.001,32,-76.02693133263863
0.001,33,-76.02693133263863
0.001,34,-76.02693133263863
0.001,35,-76.02693133263863
0.001,36,-76.02693133263863
0.001,37,-76.02693133263863
0.001,38,-76.02693133263863
0.002,0,-71.11110417395027
0.002,1,-72.69408262737099
0.002,2,-73.72157274017528
0.002,3,-74.38665897865367
0.002,4,-74.83953574655452
0.002,5,-75.23885490981108
0.002,6,-75.56069779226145
0.002,7,-75.80094033161812
0.002,8,-75.94877738325673
0.002,9,-76.01126155039552
0.002,10,-76.02502593836222
0.002,11,-76.0256896884355
0.002,12,-76.02582209792594
0.002,13,-76.02607245270836
0.002,14,-76.02640155756303
0.002,15,-76.02667932900344
0.002,16,-76.02683420035532
0.002,17,-76.02686327457918
0.002,18,-76.0269004992529
0.002,19,-76.02690622006804
0.002,20,-76.02690622006804
0.002,21,-76.02690622006804
0.002,22,-76.02690622006804
0.002,23,-76.02690622006804
0.002,24,-76.02690622006804
0.002,25,-76.02690622006804
0.002,26,-76.02690622006804
0.002,27,-76.02690622006804
0.002,28,-76.02690622006804
0.002,29,-76.02690622006804
0.002,30,-76.02690622006804
0.005,0,-73.20913167024528
0.005,1,-74.65709876030137
0.005,2,-75.54764887385859
0.005,3,-75.97001153252513
0.005,4,-76.01746510970246
0.005,5,-76.01913690938581
0.005,6,-76.01991957882198
0.005,7,-76.02224715200849
0.005,8,-76.0233627544371
0.005,9,-76.0241303783546
0.005,10,-76.0241303783546
0.005,11,-76.0241303783546
0.005,12,-76.0241303783546
0.005,13,-76.0241303783546
0.005,14,-76.0241303783546
0.005,15,-76.0241303783546
0.005,16,-76.0241303783546
0.005,17,-76.0241303783546
0.005,18,-76.0241303783546
0.005,19,-76.0241303783546
0.005,20,-76.0241303783546
0.02,0,-75.23708912835177
0.02,1,-75.89998589962313
0.02,2,-75.93469568650598
0.02,3,-75.9783251617592
0.02,4,-75.99427888232847
0.02,5,-75.99654038153447
0.02,6,-75.99654038153447
0.02,7,-75.99654038153447
0.02,8,-75.99654038153447
0.02,9,-75.99654038153447
0.02,10,-75.99654038153447
0.02,11,-75.99654038153447
0.02,12,-75.99654038153447
0.02,13,-75.99654038153447
0.02,14,-75.99654038153447
0.02,15,-75.99654038153447
0.02,16,-75.99654038153447
0.04,0,-75.49615693766967
0.04,1,-75.58714495559283
0.04,2,-75.639741035581
0.04,3,-75.69308733746517
0.04,4,-75.69308733746517
0.04,5,-75.69308733746517
0.04,6,-75.69308733746517
0.04,7,-75.69308733746517
0.04,8,-75.69308733746517
0.04,9,-75.69308733746517
0.04,10,-75.69308733746517
0.04,11,-75.69308733746517
0.04,12,-75.69308733746517
0.04,13,-75.69308733746517
0.04,14,-75.69308733746517
0.08,0,-71.85011173488614
0.08,1,-72.64941303049054
0.08,2,-72.67266541715618
0.08,3,-72.67266541715618
0.08,4,-72.67266541715618
0.08,5,-72.67266541715618
0.08,6,-72.67266541715618
0.08,7,-72.67266541715618
0.08,8,-72.67266541715618
0.08,9,-72.67266541715618
0.08,10,-72.67266541715618
0.08,11,-72.67266541715618
0.08,12,-72.67266541715618
0.08,13,-72.67266541715618
0.16,0,-68.85229479030583
0.16,1,-68.85229479030583
0.16,2,-68.85229479030583
0.16,3,-68.85229479030583
0.16,4,-68.85229479030583
0.16,5,-68.85229479030583
0.16,6,-68.85229479030583
0.16,7,-68.85229479030583
0.16,8,-68.85229479030583
0.16,9,-68.85229479030583
0.16,10,-68.85229479030583
0.16,11,-68.85229479030583
