alpha,iteration,energy
0.001,0,-69.26605372908723
0.001,1,-69.66901112561611
0.001,2,-70.06089022758103
0.001,3,-70.44074205668149
0.001,4,-70.80746340376625
0.001,5,-71.16002761676098
0.001,6,-71.49758219654294
0.001,7,-71.81948368716314
0.001,8,-72.12530192782057
0.001,9,-72.41480880780588
0.001,10,-72.68795924015767
0.001,11,-72.94486867123724
0.001,12,-73.18578971764983
0.001,13,-73.41108950748675
0.001,14,-73.62122862911735
0.001,15,-73.8167421215756
0.001,16,-73.99822262268312
0.001,17,-74.16630559435477
0.001,18,-74.32165644253271
0.001,19,-74.46495931535695
0.001,20,-74.59690737259166
0.001,21,-74.71819435101504
0.001,22,-74.82950728880053
0.001,23,-74.93152030672938
0.001,24,-75.02488937013683
0.001,25,-75.11024797122356
0.001,26,-75.188203677768
0.001,27,-75.25933549356157
0.001,28,-75.32419197086084
0.001,29,-75.38329000835417
0.001,30,-75.43711426166485
0.001,31,-75.4861170886784
0.001,32,-75.53071894976613
0.001,33,-75.57130918350805
0.001,34,-75.60824708162396
0.001,35,-75.64186319204184
0.001,36,-75.67246078583058
0.001,37,-75.70031743146562
0.001,38,-75.72568662806599
0.001,39,-75.74879945735661
0.001,40,-75.76986622182874
0.001,41,-75.7890780436489
0.001,42,-75.80660840515017
0.001,43,-75.82261461717104
0.001,44,-75.83723920607893
0.001,45,-75.85061121407657
0.001,46,-75.86284741038672
0.001,47,-75.87405341327329
0.001,48,-75.88432472462509
0.001,49,-75.8937476801303
0.001,50,-75.90240031897909
0.001,51,-75.91035317761285
0.001,52,-75.91767001238074
0.001,53,-75.92440845610166
0.001,54,-75.93062061353572
0.001,55,-75.93635360064538
0.001,56,-75.94165003235871
0.001,57,-75.94654846329591
0.001,58,-75.95108378566391
0.001,59,-75.95528758823357
0.001,60,-75.95918848003421
0.001,61,-75.96281238210493
0.001,62,-75.96618279037119
0.001,63,-75.96932101245146
0.001,64,-75.97224638094153
0.001,65,-75.97497644550116
0.001,66,-75.97752714583876
0.001,67,-75.97991296750271
0.001,68,-75.98214708219122
0.001,69,-75.98424147413608
0.001,70,-75.98620705395535
0.001,71,-75.98805376123536
0.001,72,-75.98979065697517
0.001,73,-75.99142600691074
0.001,74,-75.99296735663917
0.001,75,-75.99442159936342
0.001,76,-75.99579503700181
0.001,77,-75.99709343532355
0.001,78,-75.99832207371225
0.001,79,-75.99948579009282
0.001,80,-76.00058902150455
0.001,81,-76.00163584075578
