alpha,iteration,energy
0.001,0,-69.90648056316364
0.001,1,-70.94444864638741
0.001,2,-71.83992121741905
0.001,3,-72.57361025370625
0.001,4,-73.18309412367552
0.001,5,-73.70859746648016
0.001,6,-74.14002188995565
0.001,7,-74.47851585929511
0.001,8,-74.74751879698523
0.001,9,-74.97953415723849
0.001,10,-75.18151545018065
0.001,11,-75.35079817789989
0.001,12,-75.5071208345982
0.001,13,-75.64742643716457
0.001,14,-75.76733486872595
0.001,15,-75.86447182631275
0.001,16,-75.93713623276922
0.001,17,-75.98534974755808
0.001,18,-76.01142371816356
0.001,19,-76.0226868029384
0.001,20,-76.02656260328767
0.001,21,-76.02696785267841
0.001,22,-76.02696795479969
0.001,23,-76.0269679552672
0.001,24,-76.02696795566445
0.001,25,-76.02696795566445
0.001,26,-76.02696796689608
0.002,0,-72.69695123344219
0.002,1,-74.36606644872298
0.002,2,-75.21306211325965
0.002,3,-75.73405553957214
0.002,4,-75.97307792375184
0.002,5,-76.02466005530934
0.002,6,-76.02696796589083
0.005,0,-74.478980566596
0.005,1,-75.82389295912161
0.005,2,-76.02572396643022
0.005,3,-76.02696796685018
0.02,0,-75.93420088033308
0.02,1,-76.02696796681771
0.02,2,-76.02696796682993
0.02,3,-76.02696796682993
0.02,4,-76.02696796686429
0.04,0,-76.02695063881212
0.04,1,-76.02696796687749
0.08,0,-76.02696796669392
0.16,0,-76.02696796681839
