alpha,iteration,energy
0.001,0,-71.0787177115381
0.001,1,-72.83134733259338
0.001,2,-74.03671613492253
0.001,3,-74.79833158617815
0.001,4,-75.26109306743253
0.001,5,-75.53964913321663
0.001,6,-75.7085524990241
0.001,7,-75.81262314884714
0.001,8,-75.87809707353291
0.001,9,-75.92028692838875
0.001,10,-75.94819695877062
0.001,11,-75.96718458919023
0.001,12,-75.98048116916681
0.001,13,-75.99006473895537
0.001,14,-75.99716567132688
0.001,15,-76.00256280433906
0.001,16,-76.0067587723453
0.001,17,-76.01008493141246
0.001,18,-76.01276482688706
0.001,19,-76.01495301019206
0.001,20,-76.01675906022218
0.001,21,-76.01826264121404
0.001,22,-76.01952307761628
0.001,23,-76.02058554035617
0.001,24,-76.02148511523528
0.001,25,-76.02224953105647
0.001,26,-76.02290102768
0.001,27,-76.02345766351709
0.001,28,-76.02393425133066
0.001,29,-76.0243430429266
0.001,30,-76.02469424078039
0.001,31,-76.02499638788429
0.001,32,-76.02525667009046
0.001,33,-76.02548115426349
0.001,34,-76.0256749784081
0.001,35,-76.02584250520562
0.001,36,-76.02598744720007
0.001,37,-76.02611296969597
0.001,38,-76.02622177590388
0.001,39,-76.02631617779214
0.001,40,-76.02639815531894
0.001,41,-76.02646940614392
0.001,42,-76.02653138748549
0.001,43,-76.02658535146423
0.001,44,-76.02663237501561
0.001,45,-76.02667338525788
0.001,46,-76.0267091810461
0.001,47,-76.0267404513104
0.001,48,-76.02676779068393
0.001,49,-76.02679171283425
0.001,50,-76.0268126618505
0.001,51,-76.02683102197861
0.001,52,-76.02684712595348
0.001,53,-76.0268612621348
0.001,54,-76.026873680626
0.001,55,-76.02688459852224
0.001,56,-76.02689420441925
0.001,57,-76.02690266228426
0.001,58,-76.0269101147881
0.001,59,-76.0269166861704
0.001,60,-76.02692248470761
0.001,61,-76.0269276048407
0.001,62,-76.02693212900881
0.001,63,-76.02693612923262
0.001,64,-76.02693966848143
0.001,65,-76.026942801855
0.001,66,-76.02694557760469
0.001,67,-76.02694803801897
0.001,68,-76.02695022018926
0.001,69,-76.02695215667374
0.001,70,-76.02695387607312
0.001,71,-76.02695540353234
0.001,72,-76.02695676117258
0.001,73,-76.02695796847165
0.001,74,-76.02695904259062
0.001,75,-76.02695999866164
0.001,76,-76.02696085003558
0.001,77,-76.02696160850206
0.001,78,-76.02696228447762
0.001,79,-76.02696288717128
0.001,80,-76.0269634247316
0.001,81,-76.02696390437163
0.001,82,-76.02696433248187
0.001,83,-76.02696471472544
0.001,84,-76.0269650561257
0.001,85,-76.02696536114068
0.001,86,-76.0269656337277
0.001,87,-76.02696587740196
0.001,88,-76.02696609528819
0.001,89,-76.02696629016577
0.001,90,-76.02696646450653
0.001,91,-76.0269666205105
0.001,92,-76.02696676013785
0.001,93,-76.0269668851338
0.001,94,-76.0269669970539
0.001,95,-76.02696709728504
0.001,96,-76.02696718706449
0.001,97,-76.0269672674952
0.001,98,-76.0269673395629
0.001,99,-76.02696740414756
0.001,100,-76.02696746203468
0.001,101,-76.02696751392601
0.001,102,-76.02696756044837
0.001,103,-76.0269676021631
0.001,104,-76.0269676395715
