alpha,iteration,energy
0.001,0,-69.26605372908736
0.001,1,-69.66901112561611
0.001,2,-70.06089022758111
0.001,3,-70.44074205668154
0.001,4,-70.80746340376639
0.001,5,-71.16002761676104
0.001,6,-71.49758219654298
0.001,7,-71.8194836871632
0.001,8,-72.12530192782069
0.001,9,-72.41480880780597
0.001,10,-72.68795924015784
0.001,11,-72.94486867123737
0.001,12,-73.18578971764985
0.001,13,-73.41108950748686
0.001,14,-73.62122862911748
0.001,15,-73.81674212157567
0.001,16,-73.99822262268324
0.001,17,-74.16630559435484
0.001,18,-74.32165644253277
0.001,19,-74.46495931535699
0.001,20,-74.59690737259167
0.001,21,-74.71819435101511
0.001,22,-74.82950728880061
0.001,23,-74.93152030672944
0.001,24,-75.02488937013679
0.001,25,-75.11024797122353
0.001,26,-75.18820367776802
0.001,27,-75.25933549356154
0.001,28,-75.32419197086081
0.001,29,-75.38329000835417
0.001,30,-75.43711426166487
0.001,31,-75.48611708867843
0.001,32,-75.53071894976608
0.001,33,-75.57130918350812
0.001,34,-75.60824708162397
0.001,35,-75.6418631920418
0.001,36,-75.67246078583058
0.001,37,-75.70031743146556
0.001,38,-75.72568662806596
0.001,39,-75.74879945735653
0.001,40,-75.76986622182864
0.001,41,-75.78907804364886
0.001,42,-75.80660840515006
0.001,43,-75.82261461717096
0.001,44,-75.83723920607883
0.001,45,-75.85061121407658
0.001,46,-75.86284741038664
0.001,47,-75.87405341327327
0.001,48,-75.884324724625
0.001,49,-75.89374768013018
0.001,50,-75.90240031897893
0.001,51,-75.91035317761272
0.001,52,-75.91767001238053
0.001,53,-75.9244084561015
0.001,54,-75.9306206135355
0.001,55,-75.93635360064513
0.001,56,-75.94165003235852
0.001,57,-75.9465484632958
0.001,58,-75.95108378566368
0.001,59,-75.9552875882334
0.001,60,-75.95918848003399
0.001,61,-75.96281238210473
0.001,62,-75.96618279037102
0.001,63,-75.96932101245125
0.001,64,-75.97224638094127
0.001,65,-75.97497644550096
0.001,66,-75.97752714583855
0.001,67,-75.97991296750249
0.001,68,-75.98214708219105
0.001,69,-75.98424147413576
0.001,70,-75.98620705395506
0.001,71,-75.98805376123494
0.001,72,-75.9897906569749
0.001,73,-75.99142600691042
0.001,74,-75.99296735663874
0.001,75,-75.99442159936306
0.001,76,-75.99579503700149
0.001,77,-75.99709343532322
0.001,78,-75.9983220737119
0.001,79,-75.99948579009246
0.001,80,-76.00058902150417
0.001,81,-76.00163584075534
0.001,82,-76.00262998954594
0.001,83,-76.00357490841196
0.001,84,-76.00447376380525
0.001,85,-76.00532947259055
0.001,86,-76.00614472421712
0.001,87,-76.00692200079018
0.001,88,-76.00766359525174
0.001,89,-76.0083716278514
0.001,90,-76.00904806107941
0.001,91,-76.00969471320751
0.001,92,-76.01031327057296
0.001,93,-76.01090529873113
0.001,94,-76.01147225257941
0.001,95,-76.01201548555883
0.001,96,-76.01253625801588
0.001,97,-76.01303574480691
0.001,98,-76.01351504221877
0.001,99,-76.0139751742683
0.001,100,-76.01441709844175
0.001,101,-76.01484171092358
0.001,102,-76.01524985136719
0.001,103,-76.01564230724651
0.001,104,-76.01601981782977
0.001,105,-76.01638307780946
0.001,106,-76.0167327406221
0.001,107,-76.01706942148283
0.001,108,-76.01739370016656
0.001,109,-76.01770612355261
0.001,110,-76.01800720795822
0.001,111,-76.01829744127991
0.001,112,-76.01857728496016
0.001,113,-76.01884717579019
0.001,114,-76.01910752757254
0.001,115,-76.01935873264792
0.001,116,-76.01960116330191
0.001,117,-76.01983517306147
0.001,118,-76.02006109789079
0.001,119,-76.02027925729529
0.001,120,-76.02048995534213
0.001,121,-76.02069348160185
0.001,122,-76.02089011202342
0.001,123,-76.02108010974203
0.001,124,-76.02126372582889
0.001,125,-76.02144119998687
0.001,126,-76.02161276119759
0.001,127,-76.0217786283221
0.001,128,-76.0219390106595
0.001,129,-76.02209410846869
0.002,0,-69.66914029789997
0.002,1,-70.44098023370125
0.002,2,-71.16037540565992
0.002,3,-71.81992492547893
0.002,4,-72.41531732980309
0.002,5,-72.94541607898945
0.002,6,-73.41165027101773
0.002,7,-73.81729602811872
0.002,8,-74.1668381881898
0.002,9,-74.46546118349144
0.002,10,-74.71865999107631
0.002,11,-74.93194703244176
0.002,12,-75.11063504502002
0.002,13,-75.25968350605234
0.002,14,-75.3836004509423
0.002,15,-75.48639205453897
0.002,16,-75.57155114815652
0.002,17,-75.64207484491146
0.002,18,-75.70050154446102
0.002,19,-75.74895878387426
0.002,20,-75.78921524419948
0.002,21,-75.82273220803786
0.002,22,-75.85071153513147
0.002,23,-75.87413861094136
0.002,24,-75.89381970172673
0.002,25,-75.91041377377921
0.002,26,-75.92445918868944
0.002,27,-75.93639585401107
0.002,28,-75.94658345751122
0.002,29,-75.95531639314592
0.002,30,-75.9628359315222
0.002,31,-75.969340117966
0.002,32,-75.97499180964701
0.002,33,-75.9799251960643
0.002,34,-75.98425108751243
0.002,35,-75.98806120482364
0.002,36,-75.99143166051186
0.002,37,-75.99442578564002
0.002,38,-75.9970964273585
0.002,39,-75.99948781810582
0.002,40,-76.0016370980417
0.002,41,-76.00357555656517
0.002,42,-76.00532964608202
0.002,43,-76.00692181096453
0.002,44,-76.00837116639806
0.002,45,-76.00969405517073
0.002,46,-76.01090450510475
0.002,47,-76.01201460552251
0.002,48,-76.01303481764093
0.002,49,-76.01397423099276
0.002,50,-76.01484077569428
0.002,51,-76.01564139854126
0.002,52,-76.01638220943349
0.002,53,-76.01706860341731
0.002,54,-76.01770536266972
0.002,55,-76.01829674194224
0.002,56,-76.01884654035182
0.002,57,-76.01935816187448
0.002,58,-76.01983466647573
0.002,59,-76.02027881346419
0.002,60,-76.02069309837219
0.002,61,-76.02107978443534
0.002,62,-76.02144092955544
0.002,63,-76.02177840947762
0.002,64,-76.02209393778355
0.002,65,-76.02238908320315
0.002,66,-76.02266528465721
0.002,67,-76.02292386437763
0.002,68,-76.02316603939322
0.002,69,-76.02339293161945
0.002,70,-76.02360557675415
0.002,71,-76.02380493214808
0.002,72,-76.02399188379246
0.002,73,-76.02416725254177
0.002,74,-76.0243317996739
0.002,75,-76.02448623187391
0.002,76,-76.02463120571228
0.002,77,-76.02476733168186
0.002,78,-76.02489517784748
0.002,79,-76.0250152731506
0.002,80,-76.02512811041012
0.002,81,-76.02523414905542
0.002,82,-76.02533381761666
0.002,83,-76.02542751600203
0.002,84,-76.02551561758123
0.002,85,-76.02559847109659
0.002,86,-76.02567640241847
0.002,87,-76.02574971615938
0.002,88,-76.0258186971607
0.002,89,-76.02588361186339
0.002,90,-76.0259447095752
0.002,91,-76.02600222363976
0.002,92,-76.02605637251936
0.002,93,-76.02610736079777
0.002,94,-76.02615538010927
0.002,95,-76.02620061000069
0.002,96,-76.02624321873292
0.002,97,-76.02628336402216
0.002,98,-76.02632119373297
0.002,99,-76.02635684652037
0.002,100,-76.0263904524284
0.002,101,-76.02642213344697
0.002,102,-76.02645200403128
0.002,103,-76.02648017158536
0.002,104,-76.0265067369138
0.002,105,-76.0265317946415
0.002,106,-76.0265554336077
0.002,107,-76.0265777372313
0.002,108,-76.02659878385474
0.002,109,-76.0266186470624
0.002,110,-76.0266373959803
0.002,111,-76.02665509555523
0.002,112,-76.02667180681573
0.002,113,-76.02668758711677
0.002,114,-76.02670249036802
0.002,115,-76.02671656724684
0.002,116,-76.02672986539994
0.002,117,-76.02674242962831
0.002,118,-76.02675430206531
0.002,119,-76.02676552233812
0.002,120,-76.02677612772298
0.002,121,-76.02678615328894
0.002,122,-76.02679563203233
0.002,123,-76.02680459500444
0.002,124,-76.02681307142686
0.002,125,-76.02682108880677
0.002,126,-76.02682867303784
0.002,127,-76.0268358484986
0.002,128,-76.02684263814491
0.002,129,-76.02684906359447
0.005,0,-70.8086375174485
0.005,1,-72.41684066997708
0.005,2,-73.62346307867519
0.005,3,-74.46696191073616
0.005,4,-75.02651187562115
0.005,5,-75.3845274639611
0.005,6,-75.60914971208454
0.005,7,-75.74943451084734
0.005,8,-75.83767238330039
0.005,9,-75.89403474027701
0.005,10,-75.93080523804421
0.005,11,-75.95540232751797
0.005,12,-75.97231466072135
0.005,13,-75.98427969617948
0.005,14,-75.99298672943628
0.005,15,-75.99949379603935
0.005,16,-76.00447527796597
0.005,17,-76.00836974138983
0.005,18,-76.01146886202999
0.005,19,-76.01397139329328
0.005,20,-76.01601625890108
0.005,21,-76.01770308688202
0.005,22,-76.01910512541131
0.005,23,-76.02027749409322
0.005,24,-76.02126254877975
0.005,25,-76.02209343853698
0.005,26,-76.02279651462803
0.005,27,-76.02339299907453
0.005,28,-76.02390016725825
0.005,29,-76.02433220540443
0.005,30,-76.0247008460397
0.005,31,-76.02501584853658
0.005,32,-76.02528536920141
0.005,33,-76.02551625090243
0.005,34,-76.02571425288232
0.005,35,-76.02588423526248
0.005,36,-76.02603030863223
0.005,37,-76.02615595632922
0.005,38,-76.02626413507832
0.005,39,-76.02635735828585
0.005,40,-76.02643776530469
0.005,41,-76.02650717925641
0.005,42,-76.0265671554589
0.005,43,-76.02661902210225
0.005,44,-76.02666391448898
0.005,45,-76.02670280391837
0.005,46,-76.02673652209522
0.005,47,-76.02676578178647
0.005,48,-76.02679119432847
0.005,49,-76.02681328448041
0.005,50,-76.02683250304175
0.005,51,-76.02684923758098
0.005,52,-76.02686382156541
0.005,53,-76.026876542138
0.005,54,-76.02688764674726
0.005,55,-76.02689734880212
0.005,56,-76.02690583250151
0.005,57,-76.02691325695918
0.005,58,-76.02691975972989
0.005,59,-76.0269254598279
0.005,60,-76.02693046030974
0.005,61,-76.0269348504871
0.005,62,-76.026938707824
0.005,63,-76.02694209956466
0.005,64,-76.02694508413009
0.005,65,-76.02694771231846
0.005,66,-76.02695002833737
0.005,67,-76.02695207069029
0.005,68,-76.02695387294135
0.005,69,-76.02695546437357
0.005,70,-76.02695687055592
0.005,71,-76.02695811383313
0.005,72,-76.02695921374739
0.005,73,-76.02696018740656
0.005,74,-76.0269610497959
0.005,75,-76.02696181405507
0.005,76,-76.02696249171284
0.005,77,-76.02696309289287
0.005,78,-76.02696362649176
0.005,79,-76.02696410033438
0.005,80,-76.02696452130667
0.005,81,-76.02696489547401
0.005,82,-76.0269652281821
0.005,83,-76.02696552414626
0.005,84,-76.02696578752801
0.005,85,-76.02696602200174
0.005,86,-76.02696623081572
0.005,87,-76.02696641684221
0.005,88,-76.02696658262242
0.005,89,-76.02696673040639
0.005,90,-76.02696686218752
0.005,91,-76.0269669797325
0.005,92,-76.02696708460755
0.005,93,-76.02696717820278
0.005,94,-76.02696726175233
0.005,95,-76.02696733635125
0.005,96,-76.02696740297381
0.005,97,-76.02696746248598
0.005,98,-76.02696751565736
0.005,99,-76.02696756317268
0.005,100,-76.02696760564099
0.005,101,-76.0269676436056
0.005,102,-76.02696767754917
0.005,103,-76.0269677079026
0.005,104,-76.02696773504971
0.005,105,-76.02696775933235
