alpha,iteration,energy
0.001,0,-71.07338202875701
0.001,1,-72.82006802136577
0.001,2,-74.02285746435746
0.001,3,-74.78525364337617
0.001,4,-75.25034445672709
0.001,5,-75.53143278376665
0.001,6,-75.70249738166676
0.001,7,-75.80823162446914
0.001,8,-75.87492281835556
0.001,9,-75.91798089795012
0.001,10,-75.94650308530105
0.001,11,-75.96592125051032
0.001,12,-75.9795219019895
0.001,13,-75.98932229561422
0.001,14,-75.99658001624029
0.001,15,-76.00209250992407
0.001,16,-76.0063750319981
0.001,17,-76.00976747306773
0.001,18,-76.01249915874885
0.001,19,-76.01472857829364
0.001,20,-76.01656801989115
0.001,21,-76.01809903725704
0.001,22,-76.01938229476735
0.001,23,-76.02046393190192
0.001,24,-76.02137974916684
0.001,25,-76.02215801402694
0.001,26,-76.02282138082425
0.001,27,-76.02338823316606
0.001,28,-76.02387364350268
0.001,29,-76.02429007425378
0.001,30,-76.02464790099076
0.001,31,-76.02495581056144
0.001,32,-76.0252211094793
0.001,33,-76.02544996657926
0.001,34,-76.02564760656995
0.001,35,-76.02581846622145
0.001,36,-76.02596632163969
0.001,37,-76.02609439283754
0.001,38,-76.02620543023683
0.001,39,-76.02630178663512
0.001,40,-76.02638547736414
0.001,41,-76.02645823077346
0.001,42,-76.02652153074224
0.001,43,-76.02657665257529
0.001,44,-76.02662469338668
0.001,45,-76.02666659787164
0.001,46,-76.02670318020623
0.001,47,-76.0267351426835
0.001,48,-76.02676309159835
0.001,49,-76.02678755080113
0.001,50,-76.02680897327663
0.001,51,-76.02682775104533
0.001,52,-76.02684422364047
0.001,53,-76.02685868536983
0.001,54,-76.02687139154187
0.001,55,-76.02688256381032
0.001,56,-76.02689239476335
0.001,57,-76.02690105186831
0.001,58,-76.02690868086496
0.001,59,-76.02691540868507
0.001,60,-76.02692134596847
0.001,61,-76.02692658923159
0.001,62,-76.02693122273698
0.001,63,-76.02693532010875
0.001,64,-76.02693894572639
0.001,65,-76.02694215593021
0.001,66,-76.0269450000653
0.001,67,-76.0269475213832
0.001,68,-76.02694975782427
0.001,69,-76.02695174269581
0.001,70,-76.02695350526017
0.001,71,-76.02695507124614
0.001,72,-76.02695646329117
0.001,73,-76.02695770132992
0.001,74,-76.0269588029272
0.001,75,-76.02695978357295
0.001,76,-76.0269606569352
0.001,77,-76.02696143508527
0.001,78,-76.02696212868814
0.001,79,-76.02696274717502
0.001,80,-76.02696329889098
0.001,81,-76.02696379122415
0.001,82,-76.02696423072003
0.001,83,-76.02696462318046
0.001,84,-76.02696497375179
0.001,85,-76.0269652870022
0.001,86,-76.0269655669867
0.001,87,-76.02696581730818
0.001,88,-76.02696604116876
0.001,89,-76.02696624141755
0.001,90,-76.02696642058861
0.001,91,-76.02696658093802
0.001,92,-76.02696672447476
0.001,93,-76.02696685298933
0.001,94,-76.02696696807678
0.001,95,-76.0269670711599
0.001,96,-76.02696716350734
0.001,97,-76.02696724625164
0.001,98,-76.02696732040327
0.001,99,-76.02696738686559
0.001,100,-76.02696744644506
0.001,101,-76.02696749986148
0.001,102,-76.02696754775911
0.001,103,-76.02696759071338
0.001,104,-76.02696762923922
0.001,105,-76.02696766379735
0.001,106,-76.0269676947996
0.001,107,-76.02696772261481
0.001,108,-76.02696774757284
0.001,109,-76.02696776996949
0.001,110,-76.02696779006926
0.001,111,-76.02696780810939
0.001,112,-76.02696782430212
0.001,113,-76.0269678388378
0.001,114,-76.02696785188668
0.001,115,-76.02696786360183
0.001,116,-76.02696787412022
0.001,117,-76.02696788356464
0.001,118,-76.02696789204528
0.001,119,-76.02696789966072
0.001,120,-76.02696790649986
0.001,121,-76.02696791264198
0.001,122,-76.02696791815839
0.001,123,-76.02696792311313
0.001,124,-76.0269679275635
0.001,125,-76.02696793156102
0.001,126,-76.02696793515156
0.001,127,-76.0269679383772
0.002,0,-72.81275682679458
0.002,1,-74.77595451757108
0.002,2,-75.52519042225909
0.002,3,-75.80472133785032
0.002,4,-75.9160473714525
0.002,5,-75.96480744773417
0.002,6,-75.98863539875495
0.002,7,-76.00164035209491
0.002,8,-76.00945465600867
0.002,9,-76.0145048187841
0.002,10,-76.01793556086609
0.002,11,-76.02034288703493
0.002,12,-76.0220675903084
0.002,13,-76.02332025947638
0.002,14,-76.02423873053417
0.002,15,-76.02491687364376
0.002,16,-76.0254203347618
0.002,17,-76.0257958426569
0.002,18,-76.02607706657982
0.002,19,-76.02628847737235
0.002,20,-76.0264479768656
0.002,21,-76.0265687293975
0.002,22,-76.0266604577832
0.002,23,-76.02673037064129
0.002,24,-76.02678383139356
0.002,25,-76.02682484392163
0.002,26,-76.02685640687635
0.002,27,-76.02688077322446
0.002,28,-76.02689964105987
0.002,29,-76.02691429432873
0.002,30,-76.0269257069323
0.002,31,-76.02693461995628
0.002,32,-76.02694159912818
0.002,33,-76.02694707768819
0.002,34,-76.02695138846356
0.002,35,-76.02695478794057
0.002,36,-76.0269574743804
0.002,37,-76.02695960149555
0.002,38,-76.02696128880646
0.002,39,-76.02696262950766
0.002,40,-76.02696369646272
0.002,41,-76.02696454678598
0.002,42,-76.0269652253566
0.002,43,-76.02696576752062
0.002,44,-76.02696620117713
0.002,45,-76.0269665483916
0.002,46,-76.0269668266493
0.002,47,-76.02696704983043
0.002,48,-76.02696722897124
0.002,49,-76.02696737286053
0.002,50,-76.02696748850587
0.002,51,-76.0269675815025
0.002,52,-76.02696765632412
0.002,53,-76.02696771655
0.002,54,-76.02696776504695
0.002,55,-76.0269678041129
0.002,56,-76.0269678355927
0.002,57,-76.02696786096675
0.002,58,-76.02696788142467
0.002,59,-76.02696789792276
0.002,60,-76.02696791123051
0.002,61,-76.02696792196667
0.002,62,-76.02696793062965
0.002,63,-76.0269679376208
0.002,64,-76.02696794326378
0.002,65,-76.02696794781902
0.002,66,-76.02696795149636
0.002,67,-76.02696795446565
0.002,68,-76.02696795686302
0.002,69,-76.02696795879892
0.002,70,-76.02696796036258
0.002,71,-76.02696796162556
0.002,72,-76.02696796264539
0.005,0,-75.22011226460192
0.005,1,-75.91049601848216
0.005,2,-75.99442724941628
0.005,3,-76.01385552561102
0.005,4,-76.02097084607888
0.005,5,-76.02408874473332
0.005,6,-76.02554590971539
0.005,7,-76.02624939372245
0.005,8,-76.02659720075361
0.005,9,-76.02677286278895
0.005,10,-76.02686340665143
0.005,11,-76.02691099624491
0.005,12,-76.0269364710054
0.005,13,-76.02695033664644
0.005,14,-76.02695799525786
0.005,15,-76.02696227903647
0.005,16,-76.02696470044862
0.005,17,-76.02696608095732
0.005,18,-76.02696687345947
0.005,19,-76.0269673308906
0.005,20,-76.02696759604417
0.005,21,-76.0269677502493
0.005,22,-76.02696784015744
0.005,23,-76.02696789267914
0.005,24,-76.02696792340592
0.005,25,-76.02696794140196
0.005,26,-76.02696795195104
0.005,27,-76.02696795813844
0.005,28,-76.02696796176961
0.005,29,-76.02696796390116
0.005,30,-76.02696796415898
0.02,0,-76.01221996444472
0.02,1,-76.0261784021391
0.02,2,-76.026904837565
0.02,3,-76.02696154958537
0.02,4,-76.0269672337922
0.02,5,-76.02696787938811
0.02,6,-76.02696795632184
0.02,7,-76.02696796414011
0.04,0,-74.7632178726512
0.04,1,-74.7632178726512
0.04,2,-74.7632178726512
0.04,3,-74.7632178726512
0.04,4,-74.7632178726512
0.04,5,-74.7632178726512
0.04,6,-74.7632178726512
0.04,7,-74.7632178726512
0.04,8,-74.7632178726512
0.04,9,-74.7632178726512
0.04,10,-74.7632178726512
0.04,11,-74.7632178726512
0.08,0,-73.6760799029273
0.08,1,-73.6760799029273
0.08,2,-73.6760799029273
0.08,3,-73.6760799029273
0.08,4,-73.6760799029273
0.08,5,-73.6760799029273
0.08,6,-73.6760799029273
0.08,7,-73.6760799029273
0.08,8,-73.6760799029273
0.08,9,-73.6760799029273
0.08,10,-73.6760799029273
0.08,11,-73.6760799029273
0.16,0,-72.5581073133826
0.16,1,-72.5581073133826
0.16,2,-72.5581073133826
0.16,3,-72.5581073133826
0.16,4,-72.5581073133826
0.16,5,-72.5581073133826
0.16,6,-72.5581073133826
0.16,7,-72.5581073133826
0.16,8,-72.5581073133826
0.16,9,-72.5581073133826
0.16,10,-72.5581073133826
0.16,11,-72.5581073133826
