alpha,iteration,energy
0.001,0,-69.98269435058519
0.001,1,-71.04521479982681
0.001,2,-71.94337062839298
0.001,3,-72.64465882472
0.001,4,-73.21969949043533
0.001,5,-73.69059355857156
0.001,6,-74.08644657321777
0.001,7,-74.42010988760498
0.001,8,-74.69782339127974
0.001,9,-74.9336936808045
0.001,10,-75.13934310424025
0.001,11,-75.32194328093149
0.001,12,-75.48767937441245
0.001,13,-75.63459951716588
0.001,14,-75.75959379274839
0.001,15,-75.86082952988649
0.001,16,-75.93569013013348
0.001,17,-75.98311276021727
0.001,18,-76.00855451150083
0.001,19,-76.02180338037836
0.001,20,-76.02633239790738
0.001,21,-76.0266649613177
0.001,22,-76.02673118967331
0.001,23,-76.02676000175626
0.001,24,-76.0267924901136
0.001,25,-76.02683001446091
0.001,26,-76.02686422364319
0.001,27,-76.02688753487764
0.001,28,-76.02688753487764
0.001,29,-76.02688753487764
0.001,30,-76.02688753487764
0.001,31,-76.02688753487764
0.001,32,-76.02688753487764
0.001,33,-76.02688753487764
0.001,34,-76.02688753487764
0.001,35,-76.02688753487764
0.001,36,-76.02688753487764
0.001,37,-76.02688753487764
0.001,38,-76.02688753487764
0.002,0,-71.07813676565527
0.002,1,-72.61984062628565
0.002,2,-73.65215782823044
0.002,3,-74.37773219896282
0.002,4,-74.894500849523
0.002,5,-75.28071562420726
0.002,6,-75.59706475124763
0.002,7,-75.8304781153448
0.002,8,-75.96639204374435
0.002,9,-76.01518471791435
0.002,10,-76.02527508458262
0.002,11,-76.02573704564489
0.002,12,-76.02581960454877
0.002,13,-76.02613099421706
0.002,14,-76.02641101765573
0.002,15,-76.026667689551
0.002,16,-76.02681084377805
0.002,17,-76.02681084377805
0.002,18,-76.02681084377805
0.002,19,-76.02681084377805
0.002,20,-76.02681084377805
0.002,21,-76.02681084377805
0.002,22,-76.02681084377805
0.002,23,-76.02681084377805
0.002,24,-76.02681084377805
0.002,25,-76.02681084377805
0.002,26,-76.02681084377805
0.002,27,-76.02681084377805
0.005,0,-73.06917403068476
0.005,1,-74.7935067366503
0.005,2,-75.64214692274452
0.005,3,-75.98268856055483
0.005,4,-76.01739616761243
0.005,5,-76.01975360842857
0.005,6,-76.02147953544802
0.005,7,-76.02356230036375
0.005,8,-76.02483120565915
0.005,9,-76.02552743260915
0.005,10,-76.02603204701475
0.005,11,-76.02659214056958
0.005,12,-76.02659214056958
0.005,13,-76.02659214056958
0.005,14,-76.02659214056958
0.005,15,-76.02659214056958
0.005,16,-76.02659214056958
0.005,17,-76.02659214056958
0.005,18,-76.02659214056958
0.005,19,-76.02659214056958
0.005,20,-76.02659214056958
0.005,21,-76.02659214056958
0.005,22,-76.02659214056958
0.02,0,-75.11854546465729
0.02,1,-75.89972548980269
0.02,2,-75.92214545904949
0.02,3,-75.9400030304401
0.02,4,-75.94991503311985
0.02,5,-75.95767670438921
0.02,6,-75.96222085290657
0.02,7,-75.97068276037689
0.02,8,-75.97992211792823
0.02,9,-75.99879466343515
0.02,10,-76.005558612699
0.02,11,-76.00574478480583
0.02,12,-76.00574478480583
0.02,13,-76.00574478480583
0.02,14,-76.00574478480583
0.02,15,-76.00574478480583
0.02,16,-76.00574478480583
0.02,17,-76.00574478480583
0.02,18,-76.00574478480583
0.02,19,-76.00574478480583
0.02,20,-76.00574478480583
0.02,21,-76.00574478480583
0.02,22,-76.00574478480583
0.04,0,-75.42761881991404
0.04,1,-75.70486868264238
0.04,2,-75.74310680725122
0.04,3,-75.79913006478984
0.04,4,-75.82376702285435
0.04,5,-75.82376702285435
0.04,6,-75.82376702285435
0.04,7,-75.82376702285435
0.04,8,-75.82376702285435
0.04,9,-75.82376702285435
0.04,10,-75.82376702285435
0.04,11,-75.82376702285435
0.04,12,-75.82376702285435
0.04,13,-75.82376702285435
0.04,14,-75.82376702285435
0.04,15,-75.82376702285435
0.08,0,-72.36798222709966
0.08,1,-72.42756147269064
0.08,2,-72.42756147269064
0.08,3,-72.42756147269064
0.08,4,-72.42756147269064
0.08,5,-72.42756147269064
0.08,6,-72.42756147269064
0.08,7,-72.42756147269064
0.08,8,-72.42756147269064
0.08,9,-72.42756147269064
0.08,10,-72.42756147269064
0.08,11,-72.42756147269064
0.08,12,-72.42756147269064
0.16,0,-72.46969914002929
0.16,1,-72.46969914002929
0.16,2,-72.46969914002929
0.16,3,-72.46969914002929
0.16,4,-72.46969914002929
0.16,5,-72.46969914002929
0.16,6,-72.46969914002929
0.16,7,-72.46969914002929
0.16,8,-72.46969914002929
0.16,9,-72.46969914002929
0.16,10,-72.46969914002929
0.16,11,-72.46969914002929
