alpha,iteration,energy
0.001,0,-71.07871771153809
0.001,1,-72.8313473325934
0.001,2,-74.03671613492256
0.001,3,-74.79833158617821
0.001,4,-75.26109306743253
0.001,5,-75.53964913321649
0.001,6,-75.70855249902402
0.001,7,-75.81262314884707
0.001,8,-75.87809707353289
0.001,9,-75.92028692838878
0.001,10,-75.94819695877064
0.001,11,-75.96718458919035
0.001,12,-75.98048116916691
0.001,13,-75.9900647389555
0.001,14,-75.99716567132701
0.001,15,-76.00256280433919
0.001,16,-76.00675877234548
0.001,17,-76.0100849314126
0.001,18,-76.01276482688725
0.001,19,-76.01495301019209
0.001,20,-76.01675906022231
0.001,21,-76.01826264121411
0.001,22,-76.01952307761644
0.001,23,-76.02058554035636
0.001,24,-76.02148511523552
0.001,25,-76.0222495310566
0.001,26,-76.02290102768018
0.001,27,-76.02345766351725
0.001,28,-76.02393425133083
0.001,29,-76.0243430429267
0.001,30,-76.02469424078048
0.001,31,-76.0249963878844
0.001,32,-76.02525667009074
0.001,33,-76.02548115426363
0.001,34,-76.0256749784083
0.001,35,-76.02584250520582
0.001,36,-76.02598744720025
0.001,37,-76.02611296969613
0.001,38,-76.02622177590409
0.001,39,-76.02631617779232
0.001,40,-76.02639815531934
0.001,41,-76.0264694061443
0.001,42,-76.02653138748582
0.001,43,-76.02658535146452
0.001,44,-76.02663237501585
0.001,45,-76.02667338525819
0.001,46,-76.02670918104624
0.001,47,-76.0267404513107
0.001,48,-76.02676779068419
0.001,49,-76.0267917128345
0.001,50,-76.02681266185066
0.001,51,-76.02683102197877
0.001,52,-76.0268471259538
0.001,53,-76.02686126213504
0.001,54,-76.02687368062627
0.001,55,-76.02688459852249
0.001,56,-76.02689420441938
0.001,57,-76.0269026622844
0.001,58,-76.02691011478828
0.001,59,-76.02691668617057
0.001,60,-76.02692248470788
0.001,61,-76.02692760484099
0.001,62,-76.02693212900914
0.001,63,-76.02693612923305
0.001,64,-76.02693966848184
0.001,65,-76.02694280185526
0.001,66,-76.02694557760498
0.001,67,-76.0269480380194
0.001,68,-76.02695022018959
0.001,69,-76.02695215667406
0.001,70,-76.0269538760734
0.001,71,-76.02695540353254
0.001,72,-76.02695676117281
0.001,73,-76.02695796847195
0.001,74,-76.02695904259089
0.001,75,-76.02695999866194
0.001,76,-76.0269608500359
0.001,77,-76.02696160850248
0.001,78,-76.02696228447793
0.001,79,-76.02696288717158
0.001,80,-76.02696342473192
0.001,81,-76.02696390437187
0.001,82,-76.02696433248212
0.001,83,-76.02696471472557
0.001,84,-76.02696505612589
0.001,85,-76.02696536114082
0.001,86,-76.02696563372771
0.001,87,-76.0269658774021
0.001,88,-76.02696609528849
0.001,89,-76.02696629016606
0.001,90,-76.02696646450671
0.001,91,-76.02696662051083
0.001,92,-76.02696676013801
0.001,93,-76.02696688513394
0.001,94,-76.026966997054
0.001,95,-76.02696709728524
0.001,96,-76.02696718706467
0.001,97,-76.02696726749541
0.001,98,-76.02696733956302
0.001,99,-76.02696740414768
0.001,100,-76.0269674620348
0.001,101,-76.02696751392605
0.001,102,-76.02696756044847
0.001,103,-76.02696760216323
0.001,104,-76.02696763957161
0.001,105,-76.02696767312156
0.001,106,-76.02696770321472
0.001,107,-76.02696773020972
0.001,108,-76.02696775442809
0.001,109,-76.02696777615729
0.001,110,-76.02696779565504
0.001,111,-76.0269678131517
0.001,112,-76.02696782885417
0.001,113,-76.02696784294717
0.001,114,-76.0269678555969
0.001,115,-76.02696786695138
0.001,116,-76.02696787714451
0.001,117,-76.02696788629544
0.001,118,-76.02696789451095
0.001,119,-76.02696790188716
0.001,120,-76.02696790851003
0.001,121,-76.02696791445685
0.001,122,-76.026967919797
0.001,123,-76.02696792459277
0.001,124,-76.02696792889941
0.001,125,-76.02696793276716
0.001,126,-76.02696793624081
0.001,127,-76.0269679393606
0.002,0,-72.8349025972193
0.002,1,-74.80169890644738
0.002,2,-75.54139072745575
0.002,3,-75.8133949319078
0.002,4,-75.92060774723222
0.002,5,-75.96730754607519
0.002,6,-75.99010516264822
0.002,7,-76.00257162257783
0.002,8,-76.01008352075192
0.002,9,-76.01494961737414
0.002,10,-76.01825997576145
0.002,11,-76.02058415410745
0.002,12,-76.02224924706924
0.002,13,-76.02345813854672
0.002,14,-76.02434396327133
0.002,15,-76.02499751955685
0.002,16,-76.02548234096058
0.002,17,-76.0258436515132
0.002,18,-76.02611402329937
0.002,19,-76.02631711490848
0.002,20,-76.0264702208056
0.002,21,-76.02658604810698
0.002,22,-76.02667397382005
0.002,23,-76.02674094412367
0.002,24,-76.0267921227422
0.002,25,-76.02683136126663
0.002,26,-76.02686154198108
0.002,27,-76.026884828774
0.002,28,-76.02690285142407
0.002,29,-76.02691684138958
0.002,30,-76.02692773216624
0.002,31,-76.02693623367246
0.002,32,-76.0269428875442
0.002,33,-76.02694810835726
0.002,34,-76.02695221444692
0.002,35,-76.02695545101952
0.002,36,-76.02695800753442
0.002,37,-76.02696003081951
0.002,38,-76.02696163499634
0.002,39,-76.02696290901513
0.002,40,-76.0269639223939
0.002,41,-76.02696472960403
0.002,42,-76.02696537343093
0.002,43,-76.02696588755856
0.002,44,-76.02696629856344
0.002,45,-76.02696662745632
0.002,46,-76.02696689087993
0.002,47,-76.0269671020394
0.002,48,-76.02696727142981
0.002,49,-76.02696740740474
0.002,50,-76.02696751662138
0.002,51,-76.02696760439369
0.002,52,-76.02696767496712
0.002,53,-76.02696773173705
0.002,54,-76.02696777742119
0.002,55,-76.02696781419706
0.002,56,-76.02696784381219
0.002,57,-76.026967867667
0.002,58,-76.02696788688706
0.002,59,-76.02696790237643
0.002,60,-76.02696791486173
0.002,61,-76.02696792492749
0.002,62,-76.026967933044
0.002,63,-76.02696793958965
0.002,64,-76.02696794486913
0.002,65,-76.02696794912806
0.002,66,-76.026967952564
0.002,67,-76.026967955336
0.002,68,-76.02696795757284
0.002,69,-76.02696795937777
0.002,70,-76.02696796083423
0.002,71,-76.02696796200998
0.002,72,-76.02696796295888
0.005,0,-75.27096484405321
0.005,1,-75.92154307598351
0.005,2,-75.99724435534573
0.005,3,-76.01493922356062
0.005,4,-76.02148220242485
0.005,5,-76.0243469345563
0.005,6,-76.02567979826888
0.005,7,-76.02631998638863
0.005,8,-76.02663496867189
0.005,9,-76.02679336609565
0.005,10,-76.02687470252629
0.005,11,-76.02691730990269
0.005,12,-76.02694004813979
0.005,13,-76.02695238831112
0.005,14,-76.02695918455727
0.005,15,-76.02696297460591
0.005,16,-76.02696511020586
0.005,17,-76.0269663237225
0.005,18,-76.02696701791872
0.005,19,-76.0269674171338
0.005,20,-76.02696764765432
0.005,21,-76.02696778118543
0.005,22,-76.02696785872176
0.005,23,-76.02696790382679
0.005,24,-76.02696793010223
0.005,25,-76.02696794542477
0.005,26,-76.02696795436741
0.005,27,-76.02696795958957
0.005,28,-76.02696796264051
0.005,29,-76.02696796413935
0.02,0,-76.01488471379717
0.02,1,-76.02633568558409
0.02,2,-76.02691971177434
0.02,3,-76.02696330349636
0.02,4,-76.02696746509402
0.02,5,-76.02696791083945
0.02,6,-76.02696796058903
0.02,7,-76.02696796427786
0.04,0,-74.26208600409804
0.04,1,-74.26208600409804
0.04,2,-74.26208600409804
0.04,3,-74.26208600409804
0.04,4,-74.26208600409804
0.04,5,-74.26208600409804
0.04,6,-74.26208600409804
0.04,7,-74.26208600409804
0.04,8,-74.26208600409804
0.04,9,-74.26208600409804
0.04,10,-74.26208600409804
0.04,11,-74.26208600409804
0.08,0,-73.6760799029273
0.08,1,-73.6760799029273
0.08,2,-73.6760799029273
0.08,3,-73.6760799029273
0.08,4,-73.6760799029273
0.08,5,-73.6760799029273
0.08,6,-73.6760799029273
0.08,7,-73.6760799029273
0.08,8,-73.6760799029273
0.08,9,-73.6760799029273
0.08,10,-73.6760799029273
0.08,11,-73.6760799029273
0.16,0,-72.5581073133826
0.16,1,-72.5581073133826
0.16,2,-72.5581073133826
0.16,3,-72.5581073133826
0.16,4,-72.5581073133826
0.16,5,-72.5581073133826
0.16,6,-72.5581073133826
0.16,7,-72.5581073133826
0.16,8,-72.5581073133826
0.16,9,-72.5581073133826
0.16,10,-72.5581073133826
0.16,11,-72.5581073133826
