alg,iteration,energy
SD,0,-322.48867451541264
SD,1,-322.48867451541264
SD,2,-322.48867451541264
SD,3,-322.48867451541264
SD,4,-322.48867451541264
SD,5,-322.48867451541264
SD,6,-322.48867451541264
SD,7,-322.48867451541264
SD,8,-322.48867451541264
SD,9,-322.48867451541264
SD,10,-322.48867451541264
SD,11,-322.48867451541264
CG,0,-323.1972139605698
CG,1,-323.20076487135117
CG,2,-323.2007971443789
CG,3,-323.20079756238573
CG,4,-323.2007975669975
RMSPROP,0,-312.31450774404607
RMSPROP,1,-317.17477308819724
RMSPROP,2,-320.5415719475328
RMSPROP,3,-322.2898986750644
RMSPROP,4,-322.95933364190216
RMSPROP,5,-323.1545357065472
RMSPROP,6,-323.1873140601667
RMSPROP,7,-323.1904066283555
RMSPROP,8,-323.19265522552763
RMSPROP,9,-323.19483486615235
RMSPROP,10,-323.19752486069024
RMSPROP,11,-323.1990512513708
RMSPROP,12,-323.19928232258724
RMSPROP,13,-323.1997923338149
RMSPROP,14,-323.1997923338149
RMSPROP,15,-323.1997923338149
RMSPROP,16,-323.1997923338149
RMSPROP,17,-323.1997923338149
RMSPROP,18,-323.1997923338149
RMSPROP,19,-323.1997923338149
RMSPROP,20,-323.1997923338149
RMSPROP,21,-323.1997923338149
RMSPROP,22,-323.1997923338149
RMSPROP,23,-323.1997923338149
RMSPROP,24,-323.1997923338149
ADAGRAD,0,-323.1011864599987
ADAGRAD,1,-323.1913785268818
ADAGRAD,2,-323.1994610044316
ADAGRAD,3,-323.20058461471683
ADAGRAD,4,-323.20076110725745
ADAGRAD,5,-323.20079100112406
ADAGRAD,6,-323.2007963436695
ADAGRAD,7,-323.20079733480213
ADAGRAD,8,-323.20079752329394
ADAGRAD,9,-323.20079755971545
ADAGRAD,10,-323.2007975666243
ADAM,0,-322.6877436617069
ADAM,1,-323.2007428650278
ADAM,2,-323.2007700023064
ADAM,3,-323.2007700023064
ADAM,4,-323.20079756851004
