alg,iteration,energy
SD,0,-181.42399662662115
SD,1,-184.21583454071566
SD,2,-185.4214403303411
SD,3,-185.92678095372355
SD,4,-186.1476689687969
SD,5,-186.25604982815952
SD,6,-186.3175453267025
SD,7,-186.35733567937797
SD,8,-186.3856945902702
SD,9,-186.40724321640693
SD,10,-186.42431464368167
SD,11,-186.43822956520467
SD,12,-186.44981089600634
SD,13,-186.45960840010122
SD,14,-186.46800603207396
SD,15,-186.47528563853365
SD,16,-186.4816559272267
SD,17,-186.48727755928508
SD,18,-186.4922745938597
SD,19,-186.4967486316882
SD,20,-186.50077940946375
SD,21,-186.50443447541272
SD,22,-186.507773552073
SD,23,-186.51084407562251
SD,24,-186.51369610455504
SD,25,-186.51637442892803
SD,26,-186.51892857012865
SD,27,-186.52142147948
SD,28,-186.52393375364636
SD,29,-186.52660434431004
SD,30,-186.529695546222
SD,31,-186.53383865943152
SD,32,-186.5410685385756
SD,33,-186.56199771968517
SD,34,-186.67004338997089
SD,35,-187.45524378624134
SD,36,-187.69774858399364
SD,37,-187.81899292854013
SD,38,-187.88355750976154
SD,39,-187.91920325888668
SD,40,-187.93940165943621
SD,41,-187.9511238247975
SD,42,-187.9581049364067
SD,43,-187.96238643992803
SD,44,-187.96510426083393
SD,45,-187.96689868027227
SD,46,-187.96813748758655
SD,47,-187.9690347351302
SD,48,-187.96971740966512
SD,49,-187.97026234081142
SD,50,-187.97071698806252
SD,51,-187.9711110799616
SD,52,-187.97146377082953
SD,53,-187.97178745779428
SD,54,-187.972090311035
SD,55,-187.97237796913942
SD,56,-187.97265419173482
SD,57,-187.97292146855943
SD,58,-187.9731816982523
SD,59,-187.9734360420823
SD,60,-187.97368547436128
SD,61,-187.9739305421479
SD,62,-187.9741717214045
SD,63,-187.97440937480889
SD,64,-187.9746437728948
SD,65,-187.97487500327424
SD,66,-187.97510321803713
SD,67,-187.9753285807564
SD,68,-187.97555112279582
SD,69,-187.9757711279696
SD,70,-187.9759883065019
SD,71,-187.97620283840337
SD,72,-187.97641481330555
SD,73,-187.97662422677013
SD,74,-187.9768311461542
SD,75,-187.9770355796286
SD,76,-187.97723762800848
SD,77,-187.97743722288754
SD,78,-187.97763443682908
SD,79,-187.9778293015233
SD,80,-187.97802186639495
SD,81,-187.97821217499973
SD,82,-187.97840017577977
SD,83,-187.97858594115326
SD,84,-187.9787696853429
SD,85,-187.9789511105854
SD,86,-187.97913040008393
SD,87,-187.9793075432948
SD,88,-187.9794825855485
SD,89,-187.97965558799729
SD,90,-187.9798265246688
SD,91,-187.97999543885237
SD,92,-187.98016242435813
SD,93,-187.98032740409167
SD,94,-187.9804904403474
SD,95,-187.98065157229104
SD,96,-187.98081079707646
SD,97,-187.9809683380683
SD,98,-187.9811238993771
SD,99,-187.98127764354007
SD,100,-187.98142961099256
SD,101,-187.98157979153984
SD,102,-187.98172826029622
SD,103,-187.98187498553648
SD,104,-187.98202001191044
SD,105,-187.98216341090944
SD,106,-187.9823051260359
SD,107,-187.98244521117033
SD,108,-187.9825837026615
SD,109,-187.98272059470207
SD,110,-187.98285598806865
SD,111,-187.98298980083138
SD,112,-187.98312208970356
SD,113,-187.98325289193912
SD,114,-187.98338220399495
SD,115,-187.98351005633782
SD,116,-187.98363654858264
SD,117,-187.9837615765543
SD,118,-187.98388520970025
SD,119,-187.9840074521502
SD,120,-187.9841283336047
SD,121,-187.984248048788
SD,122,-187.9843663061676
SD,123,-187.98448325733824
SD,124,-187.9845989340625
SD,125,-187.9847133343858
SD,126,-187.98482650932715
SD,127,-187.9849384390895
SD,128,-187.98504915601507
SD,129,-187.98515870649936
SD,130,-187.98526705844773
SD,131,-187.98537424876628
SD,132,-187.9854803506642
SD,133,-187.9855852889654
SD,134,-187.98568911388247
SD,135,-187.98579185252987
SD,136,-187.98589349831474
SD,137,-187.98599414467105
SD,138,-187.98609370224813
SD,139,-187.98619222277728
SD,140,-187.98628972380078
SD,141,-187.98638629774825
SD,142,-187.98648182998005
SD,143,-187.98657637843547
SD,144,-187.98666996513253
SD,145,-187.98676260482864
SD,146,-187.9868543282942
SD,147,-187.98694512015715
