alpha,iteration,energy
0.001,0,-309.424874521286
0.001,1,-312.52821604826653
0.001,2,-315.1295116279341
0.001,3,-317.11862494778774
0.001,4,-318.6699156146269
0.001,5,-319.87181976382385
0.001,6,-320.8062787786026
0.001,7,-321.5406348437293
0.001,8,-322.10695435289523
0.001,9,-322.5149469613554
0.001,10,-322.78714862822784
0.001,11,-322.96803100178124
0.001,12,-323.10088552809935
0.001,13,-323.2032015172721
0.001,14,-323.2851449080323
0.001,15,-323.3549232817156
0.001,16,-323.41696734219363
0.001,17,-323.4712041355569
0.001,18,-323.5176734229255
0.001,19,-323.557197448939
0.001,20,-323.59210113399723
0.001,21,-323.62435818747593
0.001,22,-323.6541165350545
0.001,23,-323.6813009492547
0.001,24,-323.705789668173
0.001,25,-323.7274945574057
0.001,26,-323.7463309807384
0.001,27,-323.7622192560768
0.001,28,-323.77510505562014
0.001,29,-323.7849817018437
0.001,30,-323.7919187309216
0.001,31,-323.79613211912175
0.001,32,-323.7981088361053
0.001,33,-323.7989102262908
0.001,34,-323.7995134893221
0.001,35,-323.8000840038938
0.001,36,-323.800665055943
0.001,37,-323.8013023681331
0.001,38,-323.8020187671504
0.001,39,-323.80281578368914
0.001,40,-323.8036816491437
0.001,41,-323.8045853905243
0.001,42,-323.80549965226317
0.001,43,-323.80639967731406
0.001,44,-323.80726016973534
0.001,45,-323.8080741751244
0.001,46,-323.80883573307443
0.001,47,-323.8095392100433
0.001,48,-323.8101796155231
0.001,49,-323.8107592872549
0.001,50,-323.8112779304317
0.001,51,-323.81172925087725
0.001,52,-323.81210960037663
0.001,53,-323.8124198118579
0.001,54,-323.81266732707275
0.001,55,-323.8128680880535
0.001,56,-323.81303791100055
0.001,57,-323.8131864867076
0.001,58,-323.81331998033767
0.001,59,-323.81343996899943
0.001,60,-323.81354584086995
0.001,61,-323.8136377177913
0.001,62,-323.81371436489883
0.001,63,-323.8137768724549
0.001,64,-323.8138262389516
0.001,65,-323.81386561858926
0.001,66,-323.81390060483955
0.001,67,-323.8139342913991
0.001,68,-323.8139667581112
0.001,69,-323.8139977826542
0.001,70,-323.8140271562145
0.001,71,-323.8140547144841
0.001,72,-323.8140802368606
0.001,73,-323.8141036030975
0.001,74,-323.8141246531352
0.001,75,-323.8141432944831
0.001,76,-323.81415941738004
0.001,77,-323.8141730039566
0.001,78,-323.8141840870678
0.001,79,-323.814192802579
0.001,80,-323.81419946541786
0.001,81,-323.8142045773718
0.001,82,-323.81420871162004
0.001,83,-323.81421243586357
0.001,84,-323.81421571894845
0.001,85,-323.8142188433052
0.001,86,-323.81422165089936
0.001,87,-323.81422425942174
0.001,88,-323.814226776836
0.001,89,-323.8142291494961
0.001,90,-323.8142313001736
0.001,91,-323.8142333226211
0.001,92,-323.81423527873415
0.001,93,-323.8142371512561
0.001,94,-323.81423885821795
0.001,95,-323.8142404570641
0.001,96,-323.8142420249217
0.001,97,-323.81424349956484
0.001,98,-323.8142449827791
0.001,99,-323.81424637345054
0.001,100,-323.8142476976804
0.001,101,-323.8142489871236
0.001,102,-323.8142502054953
0.001,103,-323.81425144432006
0.001,104,-323.81425262931924
0.001,105,-323.81425375840524
0.001,106,-323.8142548377081
0.001,107,-323.81425590349835
0.001,108,-323.81425695616446
0.001,109,-323.8142580827163
0.001,110,-323.8142590841161
0.001,111,-323.81426006141623
0.001,112,-323.81426105033154
0.001,113,-323.814262001343
0.001,114,-323.8142629977199
0.001,115,-323.8142639329771
0.001,116,-323.8142648569671
0.001,117,-323.81426576778415
0.001,118,-323.8142666194298
0.001,119,-323.8142674558555
0.001,120,-323.8142683319231
0.001,121,-323.81426916209585
0.001,122,-323.81426999183793
0.001,123,-323.8142707978185
0.001,124,-323.8142716178256
0.001,125,-323.8142724466741
0.001,126,-323.81427320252146
0.001,127,-323.8142739460284
0.001,128,-323.8142747137847
0.001,129,-323.814275450103
0.002,0,-312.39583428450027
0.002,1,-316.81945575064077
0.002,2,-319.6434621191233
0.002,3,-321.3755372815702
0.002,4,-322.4230190078278
0.002,5,-322.96947960404543
0.002,6,-323.2468262253124
0.002,7,-323.4123383692297
0.002,8,-323.5264555399419
0.002,9,-323.60929731517956
0.002,10,-323.67091715440904
0.002,11,-323.71849910038657
0.002,12,-323.75392635997247
0.002,13,-323.7783727127509
0.002,14,-323.7927920528016
0.002,15,-323.7988435933159
0.002,16,-323.8006607357215
0.002,17,-323.8017416510486
0.002,18,-323.8025107329151
0.002,19,-323.8030563604929
0.002,20,-323.80347565285473
0.002,21,-323.8038522970989
0.002,22,-323.8042248947482
0.002,23,-323.8046103436559
0.002,24,-323.80503683409063
0.002,25,-323.80551163359087
0.002,26,-323.80602857044386
0.002,27,-323.8065837274928
0.002,28,-323.8071804413785
0.002,29,-323.80781923999393
0.002,30,-323.80849927205765
0.002,31,-323.8092140234705
0.002,32,-323.8099583274277
0.002,33,-323.81071905937245
0.002,34,-323.8114612239194
0.002,35,-323.8121422647104
0.002,36,-323.81272159688456
0.002,37,-323.8131844970408
0.002,38,-323.8135369567156
0.002,39,-323.8137996871556
0.002,40,-323.81399639248065
0.002,41,-323.81414059714746
0.002,42,-323.81423215769746
0.002,43,-323.8142761697481
0.002,44,-323.81428902493536
0.002,45,-323.81429356146833
0.002,46,-323.8142969087497
0.002,47,-323.8142993622971
0.002,48,-323.8143015159618
0.002,49,-323.8143034633623
0.002,50,-323.8143049797768
0.002,51,-323.814306307454
0.002,52,-323.8143074626727
0.002,53,-323.8143085737248
0.002,54,-323.8143094074407
0.002,55,-323.81431034992204
0.002,56,-323.81431106084995
0.002,57,-323.81431177905336
0.002,58,-323.81431235044306
0.002,59,-323.81431297736606
0.002,60,-323.8143134266191
0.002,61,-323.8143139340128
0.002,62,-323.8143143272607
0.002,63,-323.8143148480851
0.002,64,-323.81431515845003
0.002,65,-323.8143155291897
0.002,66,-323.81431583587903
0.002,67,-323.8143161952943
0.002,68,-323.81431644642726
0.002,69,-323.8143169080752
0.002,70,-323.81431711649117
0.002,71,-323.81431735756695
0.002,72,-323.81431751980574
0.002,73,-323.81431791331516
0.002,74,-323.81431802518836
0.002,75,-323.8143183264661
0.002,76,-323.81431846235114
0.002,77,-323.8143186776829
0.002,78,-323.81431877772724
0.002,79,-323.8143191002323
0.002,80,-323.814319190786
0.002,81,-323.81431945476044
0.002,82,-323.814319521623
0.002,83,-323.8143198062821
0.002,84,-323.81431981161484
0.002,85,-323.814320100054
0.002,86,-323.81432012645223
0.002,87,-323.81432035053007
0.002,88,-323.8143203913574
0.002,89,-323.81432058835117
0.002,90,-323.81432061591937
0.002,91,-323.8143208550829
0.002,92,-323.81432085595816
0.002,93,-323.8143210372085
0.002,94,-323.81432105458987
0.002,95,-323.81432127979303
0.002,96,-323.81432127979303
0.002,97,-323.81432127979303
0.002,98,-323.81432127979303
0.002,99,-323.81432127979303
0.002,100,-323.81432127979303
0.002,101,-323.81432127979303
0.002,102,-323.81432127979303
0.002,103,-323.81432127979303
0.002,104,-323.81432127979303
0.005,0,-318.42668802387885
0.005,1,-322.72958892824374
0.005,2,-323.6269693244084
0.005,3,-323.7597933835411
0.005,4,-323.7828213504448
0.005,5,-323.7904212887449
0.005,6,-323.7962469449844
0.005,7,-323.80002190655904
0.005,8,-323.8022022096099
0.005,9,-323.8036595655442
0.005,10,-323.8045759892316
0.005,11,-323.805209769706
0.005,12,-323.8057739774316
0.005,13,-323.8064562817367
0.005,14,-323.8073350443551
0.005,15,-323.8083351349658
0.005,16,-323.80930588033755
0.005,17,-323.81016720035274
0.005,18,-323.81085562525743
0.005,19,-323.8113355655377
0.005,20,-323.8116707456728
0.005,21,-323.8119696832695
0.005,22,-323.8122640295505
0.005,23,-323.8125593880557
0.005,24,-323.8128418010983
0.005,25,-323.8130804831191
0.005,26,-323.8132809001769
0.005,27,-323.8134665218583
0.005,28,-323.81364586480674
0.005,29,-323.81382808684396
0.005,30,-323.813997883504
0.005,31,-323.8141502967508
0.005,32,-323.8142854606795
0.005,33,-323.8144030997547
0.005,34,-323.8145083670983
0.005,35,-323.8146054961952
0.005,36,-323.81469245336325
0.005,37,-323.81476172020666
0.005,38,-323.81481062761753
0.005,39,-323.8148405607424
0.005,40,-323.8148592813348
0.005,41,-323.81487053634174
0.005,42,-323.8148772239563
0.005,43,-323.81488099715517
0.005,44,-323.8148837734938
0.005,45,-323.8148857892962
0.005,46,-323.8148868130782
0.005,47,-323.8148881913611
0.005,48,-323.8148890940097
0.005,49,-323.81488992991706
0.005,50,-323.81489067955124
0.005,51,-323.81489115630126
0.005,52,-323.8148921583777
0.005,53,-323.81489240823595
0.005,54,-323.8148930545183
0.005,55,-323.8148936031674
0.005,56,-323.8148940376553
0.005,57,-323.8148948517478
0.005,58,-323.81489489020544
0.005,59,-323.81489489020544
0.005,60,-323.81489489020544
0.005,61,-323.81489489020544
0.005,62,-323.81489489020544
0.005,63,-323.81489489020544
0.005,64,-323.81489489020544
0.005,65,-323.81489489020544
0.005,66,-323.81489489020544
0.005,67,-323.81489489020544
0.005,68,-323.81489489020544
0.005,69,-323.81489489020544
0.02,0,-323.5854510560908
0.02,1,-323.77455900055946
0.02,2,-323.7981180542238
0.02,3,-323.8075746461095
0.02,4,-323.81304189321037
0.02,5,-323.81461515244604
0.02,6,-323.81483187259767
0.02,7,-323.8150766971761
0.02,8,-323.8154756430549
0.02,9,-323.8158448706672
0.02,10,-323.81616133707905
0.02,11,-323.81679439352723
0.02,12,-323.81913137938466
0.02,13,-323.8208361991765
0.02,14,-323.82102495909083
0.02,15,-323.8210625036066
0.02,16,-323.8210867776251
0.02,17,-323.821099537064
0.02,18,-323.82111783360716
0.02,19,-323.82112065732315
0.02,20,-323.82112065732315
0.02,21,-323.82112065732315
0.02,22,-323.82112065732315
0.02,23,-323.82112065732315
0.02,24,-323.82112065732315
0.02,25,-323.82112065732315
0.02,26,-323.82112065732315
0.02,27,-323.82112065732315
0.02,28,-323.82112065732315
0.02,29,-323.82112065732315
0.02,30,-323.82112065732315
0.04,0,-323.67265120043925
0.04,1,-323.7856065501558
0.04,2,-323.8066101915789
0.04,3,-323.8137292747786
0.04,4,-323.8165588551786
0.04,5,-323.8196711921018
0.04,6,-323.8199605711084
0.04,7,-323.8199752537138
0.04,8,-323.8199752537138
0.04,9,-323.8199752537138
0.04,10,-323.8199752537138
0.04,11,-323.8199752537138
0.04,12,-323.8199752537138
0.04,13,-323.8199752537138
0.04,14,-323.8199752537138
0.04,15,-323.8199752537138
0.04,16,-323.8199752537138
0.04,17,-323.8199752537138
0.04,18,-323.8199752537138
0.08,0,-323.7058588934209
0.08,1,-323.7860335099541
0.08,2,-323.79292415234335
0.08,3,-323.80033716247084
0.08,4,-323.80153007618884
0.08,5,-323.80153007618884
0.08,6,-323.80153007618884
0.08,7,-323.80153007618884
0.08,8,-323.80153007618884
0.08,9,-323.80153007618884
0.08,10,-323.80153007618884
0.08,11,-323.80153007618884
0.08,12,-323.80153007618884
0.08,13,-323.80153007618884
0.08,14,-323.80153007618884
0.08,15,-323.80153007618884
0.16,0,-323.6589850566371
0.16,1,-323.7450089170914
0.16,2,-323.75491790101296
0.16,3,-323.75491790101296
0.16,4,-323.75491790101296
0.16,5,-323.75491790101296
0.16,6,-323.75491790101296
0.16,7,-323.75491790101296
0.16,8,-323.75491790101296
0.16,9,-323.75491790101296
0.16,10,-323.75491790101296
0.16,11,-323.75491790101296
0.16,12,-323.75491790101296
0.16,13,-323.75491790101296
0.0,0,-323.5854510560908
0.0,1,-323.77455900055946
0.0,2,-323.7981180542238
0.0,3,-323.8075746461095
0.0,4,-323.81304189321037
0.0,5,-323.81461515244604
0.0,6,-323.81483187259767
0.0,7,-323.8150766971761
0.0,8,-323.8154756430549
0.0,9,-323.8158448706672
0.0,10,-323.81616133707905
0.0,11,-323.81679439352723
0.0,12,-323.81913137938466
0.0,13,-323.8208361991765
0.0,14,-323.82102495909083
0.0,15,-323.8210625036066
0.0,16,-323.8210867776251
0.0,17,-323.821099537064
0.0,18,-323.82111783360716
0.0,19,-323.82112065732315
0.0,20,-323.8211579016639
